lat;lon;name;date;heure;temperature;point_de_rose;humidite;pression_station;variation_pression_24h;temperature_min_sol_12h;precipitations_dernieres_24h
46.046.833;-1.411.667;CHASSIRON;01/01/2026;00:00:00Z;274.95;269.65;68;101900;-440;NULL;NULL
46.178;-1.193.167;LA ROCHELLE-ILE DE RE;01/01/2026;00:00:00Z;271.55;269.35;85;101930;-520;NULL;0.0
46.315.833;-0.400167;NIORT;01/01/2026;00:00:00Z;271.75;268.95;81;101400;-470;274.45;0.0
46.593.833;0.314333;POITIERS-BIARD;01/01/2026;00:00:00Z;269.05;267.95;92;100740;-490;274.15;0.0
46.869.833;1.741;CHATEAUROUX  DEOLS;01/01/2026;00:00:00Z;269.85;268.45;90;100340;-480;267.05;0.0
461.755;1.950.333;GUERET-ST LAURENT;01/01/2026;00:00:00Z;264.15;262.95;91;97720;-380;269.25;0.0
46.166.667;3.398.667;VICHY-CHARMEIL;01/01/2026;00:00:00Z;265.65;264.75;93;99220;-300;272.65;0.0
46.408.333;40.165;ST YAN;01/01/2026;00:00:00Z;266.05;264.55;89;99310;-280;NULL;0.0
462.945;4.794.333;MACON;01/01/2026;00:00:00Z;269.95;266.65;78;99570;-200;271.95;0.0
47.043.833;5.427.333;TAVAUX SA;01/01/2026;00:00:00Z;267.85;264.25;76;99860;-310;272.65;0.0
45.665;-0.315833;COGNAC;01/01/2026;00:00:00Z;270.05;266.45;76;101750;-420;266.25;0.0
45.861.167;1.175;LIMOGES-BELLEGARDE;01/01/2026;00:00:00Z;270.65;262.65;54;97160;-320;271.15;0.0
45.146.667;1.473.333;BRIVE;01/01/2026;00:00:00Z;267.75;266.35;90;100760;-160;275.45;0.0
45.036.333;1.491.667;BRIVE-SOUILLAC;01/01/2026;00:00:00Z;265.95;265.15;94;98410;-180;NULL;0.0
45.786.833;3.149.333;CLERMONT-FD;01/01/2026;00:00:00Z;268.45;266.15;84;98220;-270;268.45;0.0
450.745;3.764;LE PUY-LOUDES;01/01/2026;00:00:00Z;263.15;261.35;87;92270;-130;268.95;0.0
45.545.667;4.293.833;ST ETIENNE-BOUTHEON;01/01/2026;00:00:00Z;264.45;263.15;90;97500;-150;262.95;0.0
